Title,Type,Country,Genres,Director,Duration_Minutes,Seasons,IMDb_Rating,Release_Year,Date_Added
Sacred Games,TV Show,India,Crime;Thriller,Anurag Kashyap,,1,8.4,2018,April 2021
Made in Heaven,TV Show,India,Drama;Romance,Zoya Akhtar,,2,8.2,2019,September 2019
RRR: Rise Again,Movie,India,Action;Drama,S. S. Rajamouli,160,,6.1,2024,February 2021
Ludo Nights,Movie,India,Comedy;Crime,Anurag Kashyap,114,,7.8,2018,December 2024
Masaba Masaba,TV Show,India,Comedy;Reality-TV,Neeraj Ghaywan,,2,7.9,2025,January 2020
The Great Indian Heist,TV Show,India,Crime;Drama,Rohit Shetty,,4,6.9,2023,April 2023
Monsoon Wedding Tales,Movie,India,Romance;Drama,Zoya Akhtar,98,,7.2,2019,June 2023
Kantara: The Return,Movie,India,Action;Fantasy,Rishab Shetty,162,,8.6,2022,December 2025
Panchayat: Season 3,TV Show,India,Comedy;Drama,Deepak Kumar,,5,9.1,2019,July 2019
The White Tiger: Redux,Movie,India,Drama;Crime,Ramin Bahrani,155,,8.7,2022,October 2023
Stranger Realms,TV Show,United States,Sci-Fi;Drama,Christopher Nolan,,5,8.3,2021,January 2021
Midnight Echoes,Movie,United Kingdom,Horror;Mystery,David Fincher,122,,8.7,2019,February 2024
Neon Highway,Movie,United States,Action;Thriller,Denis Villeneuve,120,,8.0,2025,June 2020
Seaside Dreams,TV Show,Australia,Romance;Drama,Jane Campion,,3,6.7,2023,May 2019
Tokyo Nights,TV Show,Japan,Drama;Crime,Hirokazu Koreeda,,5,7.7,2020,April 2020
Moonlit Sonata,Movie,France,Romance;Drama,Pedro Almodóvar,144,,6.9,2024,November 2021
Cyber Pulse,Movie,South Korea,Sci-Fi;Action,Bong Joon-ho,126,,6.7,2018,January 2023
Island of Stories,TV Show,Canada,Family;Fantasy,Greta Gerwig,,4,6.2,2022,October 2023
Samba Streets,Movie,Brazil,Comedy;Music,Fernando Meirelles,112,,7.3,2025,November 2025
Desert Bloom,Movie,Mexico,Drama;Biography,Alejandro González Iñárritu,103,,6.4,2022,December 2022
Final Affair (0),TV Show,South Korea,Action;Thriller,Taika Waititi,,8,8.4,2002,February 2014
Crimson Pursuit (1),Movie,Mexico,Horror,Bong Joon-ho,151,,7.2,2014,September 2010
